,Title_SR,Genre,Tag,Title_Norm,Seasons,Episodes,Status,Duration,UserRating,Network,Title_Wiki,State
254,Hieroglyph,Action,/hieroglyph,hieroglyph,0,0,Not Ordered,60 min,2.84211,FOX,,
255,Hieroglyph,Drama,/hieroglyph,hieroglyph,0,0,Not Ordered,60 min,2.84211,FOX,,
256,Hoarders,Reality,/Hoarders,hoarders,6,86,Concluded,60 min,3.55357,A&AMP;E,,
257,Hostages,Crime,/hostages,hostages,1,15,Concluded,60 min,3.30411,CBS,,
258,Hostages,Drama,/hostages,hostages,1,15,Concluded,60 min,3.30411,CBS,,
259,Hot in Cleveland,Comedy,/Hot_in_Cleveland,hotincleveland,6,130,Concluded,30 min,3.90116,TV Land,Hot in Cleveland,Ohio
260,House,Drama,/House,house,8,177,Concluded,60 min,4.39,FOX,,
261,How I Met Your Mother,Comedy,/How_I_Met_Your_Mother,howimetyourmother,9,207,Concluded,30 min,4.17275,CBS,How I Met Your Mother,New York
262,How to Be a Gentleman,Comedy,/how_to_be_a_gentleman,howtobeagentleman,1,9,Concluded,30 min,2.41667,CBS,,
263,How to Make It in America,Comedy,/How_to_Make_It_in_America,howtomakeitinamerica,2,16,Concluded,30 min,3.86039,HBO,,
264,Huge,Comedy,/Huge,huge,1,10,Concluded,None,3.03723,ABC Family,,
265,Huge,Drama,/Huge,huge,1,10,Concluded,None,3.03723,ABC Family,,
266,Human Target,Action,/Human_Target,humantarget,2,25,Concluded,60 min,3.87546,FOX,,
267,Human Target,Crime,/Human_Target,humantarget,2,25,Concluded,60 min,3.87546,FOX,,
268,Human Target,Drama,/Human_Target,humantarget,2,25,Concluded,60 min,3.87546,FOX,,
269,Hung,Comedy,/Hung,hung,3,30,Concluded,30 min,3.4057,HBO,,
270,Hung,Drama,/Hung,hung,3,30,Concluded,30 min,3.4057,HBO,,
271,I Hate My Teenage Daughter,Comedy,/i_hate_my_teenage_daughter,ihatemyteenagedaughter,1,11,Concluded,30 min,2.82,FOX,,
272,I Just Want My Pants Back,Comedy,/i_just_want_my_pants_back,ijustwantmypantsback,1,12,Concluded,60 min,3.11864,MTV,,
273,In Living Color,Comedy,/In_Living_Color,inlivingcolor,5,128,Concluded,None,4.22727,FOX,,
274,In Plain Sight,Action,/In_Plain_Sight,inplainsight,5,61,Concluded,60 min,3.8766,USA,In Plain Sight,New Mexico
275,In Plain Sight,Crime,/In_Plain_Sight,inplainsight,5,61,Concluded,60 min,3.8766,USA,In Plain Sight,New Mexico
276,In Plain Sight,Drama,/In_Plain_Sight,inplainsight,5,61,Concluded,60 min,3.8766,USA,In Plain Sight,New Mexico
277,In Treatment,Drama,/In_Treatment,intreatment,3,106,Concluded,30 min,3.7971,HBO,,
278,In the Flesh,Drama,/in_the_flesh,intheflesh,2,9,Concluded,60 min,4.0175,BBC America,,
279,In the Flesh,Fantasy,/in_the_flesh,intheflesh,2,9,Concluded,60 min,4.0175,BBC America,,
280,In the Flow with Affion Crockett,Comedy,/in_the_flow_with_affion_crockett,intheflowwithaffioncrockett,1,6,Concluded,60 min,0.0,FOX,,
281,Incredible Crew,Comedy,/incredible_crew,incrediblecrew,1,14,Concluded,30 min,5.0,Cartoon Network,,
282,Inside Men,Action,/inside_men,insidemen,1,4,Concluded,None,3.1,BBC America,,
283,Inside Men,Crime,/inside_men,insidemen,1,4,Concluded,None,3.1,BBC America,,
284,Inside Men,Drama,/inside_men,insidemen,1,4,Concluded,None,3.1,BBC America,,
285,Intelligence,Action,/intelligence,intelligence,1,13,Concluded,60 min,3.75859,CBS,,
286,Intelligence,Drama,/intelligence,intelligence,1,13,Concluded,60 min,3.75859,CBS,,
287,Intruders,Drama,/intruders,intruders,1,8,Concluded,60 min,3.14271,DisneyBDisneyBDisneyCDisney DisneyADisneymDisneyeDisneyrDisneyiDisneycDisneyaDisney,,
288,Intruders,Fantasy,/intruders,intruders,1,8,Concluded,60 min,3.14271,DisneyBDisneyBDisneyCDisney DisneyADisneymDisneyeDisneyrDisneyiDisneycDisneyaDisney,,
289,Ironside,Crime,/ironside,ironside,1,4,Concluded,60 min,2.68687,NBC,Ironside,California
290,Ironside,Drama,/ironside,ironside,1,4,Concluded,60 min,2.68687,NBC,Ironside,California
291,Jersey Shore,Reality,/Jersey_Shore,jerseyshore,6,83,Concluded,60 min,3.30027,MTV,Jersey Shore,New Jersey
292,Jessie,Comedy,/jessie,jessie,4,93,Current,30 min,3.55405,,Jessie,New York
293,Justified,Crime,/Justified,justified,6,79,Concluded,60 min,4.36405,FX,Justified,Kentucky
294,Justified,Drama,/Justified,justified,6,79,Concluded,60 min,4.36405,FX,Justified,Kentucky
295,Karaoke Battle USA,Reality,/karaoke_battle_usa,karaokebattleusa,1,6,Concluded,60 min,3.75,ABC,,
296,Kathy Griffin: My Life on the D-List,Comedy,/Kathy_Griffin_My_Life_on_the_D-List,kathygriffinmylifeonthedlist,6,55,Concluded,None,3.04,Bravo,,
297,Kathy Griffin: My Life on the D-List,Reality,/Kathy_Griffin_My_Life_on_the_D-List,kathygriffinmylifeonthedlist,6,55,Concluded,None,3.04,Bravo,,
298,Kendra,Reality,/Kendra,kendra,4,47,Concluded,60 min,2.90625,E,,
299,Killer Women,Crime,/killer_women,killerwomen,1,8,Concluded,60 min,3.58953,ABC,,
300,Killer Women,Drama,/killer_women,killerwomen,1,8,Concluded,60 min,3.58953,ABC,,
301,King,Crime,/king,king,2,21,Concluded,60 min,3.3608,Showcase,,
302,King,Drama,/king,king,2,21,Concluded,60 min,3.3608,Showcase,,
303,King & Maxwell,Crime,/king_and_maxwell,kingmaxwell,1,10,Concluded,60 min,3.55769,TNT,,
304,King & Maxwell,Drama,/king_and_maxwell,kingmaxwell,1,10,Concluded,60 min,3.55769,TNT,,
305,Kirstie,Comedy,/kirstie,kirstie,1,12,Concluded,30 min,2.98333,TV Land,,
306,Kroll Show,Comedy,/kroll_show,krollshow,3,30,Concluded,30 min,3.36486,Comedy Central,,
307,Last Comic Standing,Comedy,/Last_Comic_Standing,lastcomicstanding,9,95,Hiatus,60 min,3.21277,NBC,,
308,Last Comic Standing,Reality,/Last_Comic_Standing,lastcomicstanding,9,95,Hiatus,60 min,3.21277,NBC,,
309,Last Resort,Action,/last_resort,lastresort,1,13,Concluded,60 min,3.51242,ABC,,
310,Last Resort,Drama,/last_resort,lastresort,1,13,Concluded,60 min,3.51242,ABC,,
311,Late Night with Jimmy Fallon,Comedy,/Late_Night_with_Jimmy_Fallon,latenightwithjimmyfallon,5,973,Concluded,60 min,3.92857,NBC,,
312,Late Show with David Letterman,Comedy,/Late_Show_with_David_Letterman,lateshowwithdavidletterman,22,3868,Concluded,60 min,3.0,CBS,,
313,Law & Order: Criminal Intent,Crime,/Law_and_Order_Criminal_Intent,lawordercriminalintent,10,195,Concluded,30 min,3.70339,USA,Law & Order: Criminal Intent,New York
314,Law & Order: Criminal Intent,Drama,/Law_and_Order_Criminal_Intent,lawordercriminalintent,10,195,Concluded,30 min,3.70339,USA,Law & Order: Criminal Intent,New York
315,Law & Order: Los Angeles,Crime,/Law_and_Order_Los_Angeles,laworderlosangeles,1,22,Concluded,60 min,3.07917,NBC,Law & Order: Los Angeles,California
316,Law & Order: Los Angeles,Drama,/Law_and_Order_Los_Angeles,laworderlosangeles,1,22,Concluded,60 min,3.07917,NBC,Law & Order: Los Angeles,California
317,Law & Order: UK,Crime,/law_and_order_uk,laworderuk,8,53,Hiatus,60 min,3.65957,BBC America,,
318,Law & Order: UK,Drama,/law_and_order_uk,laworderuk,8,53,Hiatus,60 min,3.65957,BBC America,,
319,LeAnn & Eddie,Reality,/leann_and_eddie,leanneddie,1,8,Concluded,30 min,3.25,NickelodeonVNickelodeonHNickelodeon1Nickelodeon,,
320,Legit,Comedy,/legit,legit,2,26,Concluded,30 min,3.67568,FXX,,
321,Less Than Kind,Comedy,/Less_Than_Kind,lessthankind,4,48,Hiatus,30 min,4.5,DirecTV,,
322,Less Than Kind,Drama,/Less_Than_Kind,lessthankind,4,48,Hiatus,30 min,4.5,DirecTV,,
323,Leverage,Action,/Leverage,leverage,5,77,Concluded,60 min,4.29649,TNT,Leverage,Massachusetts
324,Leverage,Action,/Leverage,leverage,5,77,Concluded,60 min,4.29649,TNT,Leverage,Oregon
325,Leverage,Comedy,/Leverage,leverage,5,77,Concluded,60 min,4.29649,TNT,Leverage,Massachusetts
326,Leverage,Comedy,/Leverage,leverage,5,77,Concluded,60 min,4.29649,TNT,Leverage,Oregon
327,Leverage,Crime,/Leverage,leverage,5,77,Concluded,60 min,4.29649,TNT,Leverage,Massachusetts
328,Leverage,Crime,/Leverage,leverage,5,77,Concluded,60 min,4.29649,TNT,Leverage,Oregon
329,Leverage,Drama,/Leverage,leverage,5,77,Concluded,60 min,4.29649,TNT,Leverage,Massachusetts
330,Leverage,Drama,/Leverage,leverage,5,77,Concluded,60 min,4.29649,TNT,Leverage,Oregon
331,Lie to Me,Crime,/Lie_to_Me,lietome,3,48,Concluded,60 min,4.17827,FOX,Lie to Me,"Washington, D.C."
332,Lie to Me,Drama,/Lie_to_Me,lietome,3,48,Concluded,60 min,4.17827,FOX,Lie to Me,"Washington, D.C."
333,Life Unexpected,Drama,/Life_Unexpected,lifeunexpected,2,26,Concluded,60 min,3.82479,The CW,"Life, Unexpected",Oregon
334,Lights Out,Drama,/Lights_Out,lightsout,1,13,Concluded,60 min,2.76471,FX,,
335,Lone Star,Drama,/Lone_Star,lonestar,1,2,Concluded,60 min,2.48077,FOX,,
336,Looking,Comedy,/looking,looking,2,18,Hiatus,30 min,4.04873,HBO,Looking,California
337,Losing It with Jillian,Reality,/Losing_It_with_Jillian,losingitwithjillian,1,8,Concluded,None,1.95238,NBC,,
338,Love Bites,Comedy,/Love_Bites,lovebites,1,8,Concluded,45 min,3.24742,NBC,,
339,Love Bites,Drama,/Love_Bites,lovebites,1,8,Concluded,45 min,3.24742,NBC,,
340,Low Winter Sun,Crime,/low_winter_sun,lowwintersun,1,9,Concluded,60 min,2.59813,AMC,Low Winter Sun,Michigan
341,Low Winter Sun,Drama,/low_winter_sun,lowwintersun,1,9,Concluded,60 min,2.59813,AMC,Low Winter Sun,Michigan
342,Luck,Drama,/luck,luck,1,9,Concluded,60 min,2.89844,HBO,,
343,Lucky 7,Drama,/lucky_7,lucky7,1,2,Concluded,60 min,1.96067,ABC,,
344,Mad Men,Drama,/Mad_Men,madmen,7,91,Concluded,60 min,4.10654,AMC,Mad Men,New York
345,Made in Jersey,Drama,/made_in_jersey,madeinjersey,1,8,Concluded,60 min,3.28981,CBS,,
346,Magic City,Crime,/magic_city,magiccity,2,16,Concluded,60 min,3.592,Starz,,
347,Magic City,Drama,/magic_city,magiccity,2,16,Concluded,60 min,3.592,Starz,,
348,Make It or Break It,Drama,/Make_It_or_Break_It,makeitorbreakit,3,48,Concluded,60 min,3.88309,ABC Family,,
349,Malibu Country,Comedy,/malibu_country,malibucountry,1,18,Concluded,30 min,3.18421,ABC,,
350,Manhattan Love Story,Comedy,/manhattan_love_story,manhattanlovestory,1,11,Concluded,30 min,3.66154,ABC,,
351,Marry Me,Comedy,/marry_me,marryme,1,18,Concluded,30 min,3.35591,El ReyNEl ReyBEl ReyCEl Rey,,
352,Marvin Marvin,Comedy,/marvin_marvin,marvinmarvin,1,20,Hiatus,30 min,3.75,Nickelodeon,,
353,Matador,Action,/matador,matador,1,13,Concluded,60 min,3.39402,,,
354,Matador,Crime,/matador,matador,1,13,Concluded,60 min,3.39402,,,
355,Matador,Drama,/matador,matador,1,13,Concluded,60 min,3.39402,,,
356,Medium,Crime,/Medium,medium,7,130,Concluded,60 min,3.84325,CBS,Medium,Arizona
357,Medium,Drama,/Medium,medium,7,130,Concluded,60 min,3.84325,CBS,Medium,Arizona
358,Medium,Fantasy,/Medium,medium,7,130,Concluded,60 min,3.84325,CBS,Medium,Arizona
359,Melissa & Joey,Comedy,/Melissa_and_Joey,melissajoey,4,104,Current,30 min,3.97066,ABC Family,,
360,Memphis Beat,Comedy,/Memphis_Beat,memphisbeat,2,20,Concluded,60 min,3.45333,TNT,Memphis Beat,Tennessee
361,Memphis Beat,Crime,/Memphis_Beat,memphisbeat,2,20,Concluded,60 min,3.45333,TNT,Memphis Beat,Tennessee
362,Memphis Beat,Drama,/Memphis_Beat,memphisbeat,2,20,Concluded,60 min,3.45333,TNT,Memphis Beat,Tennessee
363,Men at Work,Comedy,/men_at_work,menatwork,3,30,Concluded,30 min,3.82735,TBS,,
364,Men of a Certain Age,Drama,/Men_of_a_Certain_Age,menofacertainage,2,22,Concluded,60 min,3.2,TNT,,
365,Merlin,Action,/Merlin,merlin,5,65,Concluded,60 min,4.3191,Syfy,,
366,Merlin,Drama,/Merlin,merlin,5,65,Concluded,60 min,4.3191,Syfy,,
367,Merlin,Fantasy,/Merlin,merlin,5,65,Concluded,60 min,4.3191,Syfy,,
368,Mind Games,Comedy,/mind_games,mindgames,1,13,Concluded,60 min,3.30645,ABC,,
369,Mind Games,Drama,/mind_games,mindgames,1,13,Concluded,60 min,3.30645,ABC,,
370,Missing,Crime,/Missing,missing,3,55,Concluded,None,3.75,ABC,,
371,Missing,Fantasy,/Missing,missing,3,55,Concluded,None,3.75,ABC,,
372,Mission Control,Comedy,/mission_control,missioncontrol,0,0,Not Ordered,30 min,3.625,NBC,,
373,Mistresses,Drama,/Mistresses,mistresses,3,16,Concluded,None,3.46875,BBC America,,
374,Mixology,Comedy,/mixology,mixology,1,13,Concluded,30 min,3.77923,ABC,,
375,Mob City,Crime,/mob_city,mobcity,1,6,Concluded,60 min,3.39583,TNT,,
376,Mob City,Drama,/mob_city,mobcity,1,6,Concluded,60 min,3.39583,TNT,,
377,Mob Wives Chicago,Reality,/mob_wives_chicago,mobwiveschicago,1,11,Concluded,60 min,2.58333,VH1,,
378,Mobbed,Reality,/mobbed,mobbed,1,11,Concluded,60 min,3.85,FOX,,
379,Monday Mornings,Drama,/monday_mornings,mondaymornings,1,10,Concluded,60 min,3.36076,TNT,,
380,Moone Boy,Comedy,/moone_boy,mooneboy,3,18,Concluded,30 min,3.98013,Hulu,,
381,Motive,Crime,/motive,motive,3,39,Hiatus,60 min,3.72209,ABC,,
382,Motive,Drama,/motive,motive,3,39,Hiatus,60 min,3.72209,ABC,,
383,Mr. Sunshine,Comedy,/Mr._Sunshine,mrsunshine,1,9,Concluded,30 min,3.10448,ABC,,
384,Mulaney,Comedy,/mulaney,mulaney,1,13,Concluded,30 min,2.44126,FOX,,
385,My Boys,Comedy,/My_Boys,myboys,4,49,Concluded,None,3.62308,TBS,My Boys,Illinois
386,My Generation,Drama,/My_Generation,mygeneration,1,8,Concluded,30 min,2.81579,ABC,,
387,Mystery Girls,Comedy,/mystery_girls,mysterygirls,1,10,Concluded,30 min,2.37454,ABC Family,,
388,NY Ink,Reality,/ny_ink,nyink,3,23,Concluded,60 min,3.61111,ITC,,
389,NYC 22,Crime,/nyc_22,nyc22,1,13,Concluded,60 min,3.05233,CBS,,
390,NYC 22,Drama,/nyc_22,nyc22,1,13,Concluded,60 min,3.05233,CBS,,
391,Napoleon Dynamite,Cartoons,/napoleon_dynamite,napoleondynamite,1,6,Concluded,30 min,3.18333,FOX,,
392,Napoleon Dynamite,Comedy,/napoleon_dynamite,napoleondynamite,1,6,Concluded,30 min,3.18333,FOX,,
393,Necessary Roughness,Drama,/necessary_roughness,necessaryroughness,3,38,Concluded,60 min,3.71774,USA,,
394,Nikita,Action,/Nikita,nikita,4,73,Concluded,60 min,4.02591,The CW,,
395,Nikita,Drama,/Nikita,nikita,4,73,Concluded,60 min,4.02591,The CW,,
396,Nikki & Sara Live,Comedy,/nikki_and_sara_live,nikkisaralive,2,24,Hiatus,60 min,2.5,MTV,,
397,No Ordinary Family,Drama,/No_Ordinary_Family,noordinaryfamily,1,20,Concluded,60 min,3.59786,ABC,,
398,Nurse Jackie,Comedy,/Nurse_Jackie,nursejackie,7,80,Concluded,30 min,3.95726,Showtime,Nurse Jackie,New York
399,Nurse Jackie,Drama,/Nurse_Jackie,nursejackie,7,80,Concluded,30 min,3.95726,Showtime,Nurse Jackie,New York
400,Off the Map,Drama,/Off_the_Map,offthemap,1,13,Concluded,60 min,3.67089,ABC,,
401,Oh Sit!,Reality,/oh_sit,ohsit,2,20,Concluded,60 min,4.0,The CW,,
402,One Big Happy,Comedy,/one_big_happy,onebighappy,1,6,Concluded,30 min,3.34906,NBC,,
403,One Life to Live,Drama,/One_Life_to_Live,onelifetolive,7,980,Concluded,30 min,3.8,ABC,,
404,One Tree Hill,Drama,/One_Tree_Hill,onetreehill,9,189,Concluded,60 min,4.24023,The CW,,
405,Outlaw,Drama,/Outlaw,outlaw,1,8,Concluded,60 min,3.11364,NBC,,
406,Outsourced,Comedy,/Outsourced,outsourced,1,22,Concluded,30 min,3.64946,NBC,,
407,Pan Am,Drama,/pan_am,panam,1,14,Concluded,60 min,3.73168,ABC,,
408,Parenthood,Comedy,/Parenthood,parenthood,6,103,Concluded,60 min,4.35284,NBC,,
409,Parenthood,Drama,/Parenthood,parenthood,6,103,Concluded,60 min,4.35284,NBC,,
410,Parks and Recreation,Comedy,/parks_and_recreation,parksandrecreation,7,123,Concluded,30 min,4.39712,NBC,Parks and Recreation,Indiana
411,Partners,Comedy,/partners,partners,1,10,Hiatus,30 min,2.96681,CBS,,
412,Party Down,Comedy,/Party_Down,partydown,2,20,Concluded,None,4.08051,Starz,,
413,Perception,Crime,/perception,perception,3,39,Concluded,60 min,4.02751,DisneyTDisneyNDisneyTDisney,,
414,Perception,Drama,/perception,perception,3,39,Concluded,60 min,4.02751,DisneyTDisneyNDisneyTDisney,,
415,Perfect Couples,Comedy,/Perfect_Couples,perfectcouples,1,11,Concluded,30 min,3.03175,NBC,,
416,Perfect Score,Reality,/perfect_score,perfectscore,1,12,Concluded,60 min,2.52632,The CW,,
417,Persons Unknown,Drama,/Persons_Unknown,personsunknown,1,13,Concluded,None,3.53226,NBC,,
418,Persons Unknown,Science-Fiction,/Persons_Unknown,personsunknown,1,13,Concluded,None,3.53226,NBC,,
419,Phineas and Ferb,Cartoons,/Phineas_and_Ferb,phineasandferb,4,221,Hiatus,15 min,4.03,syndicated,,
420,Political Animals,Drama,/political_animals,politicalanimals,1,6,Concluded,60 min,3.74679,USA,,
421,Prime Suspect,Crime,/Prime_Suspect,primesuspect,7,15,Concluded,None,4.02632,NBC,,
422,Prime Suspect,Drama,/Prime_Suspect,primesuspect,7,15,Concluded,None,4.02632,NBC,,
423,Private Practice,Drama,/Private_Practice,privatepractice,6,110,Concluded,60 min,3.68962,ABC,Private Practice,California
424,Psych,Action,/Psych,psych,8,120,Concluded,60 min,4.33383,Psych,Psych,California
425,Psych,Comedy,/Psych,psych,8,120,Concluded,60 min,4.33383,Psych,Psych,California
426,Psych,Crime,/Psych,psych,8,120,Concluded,60 min,4.33383,Psych,Psych,California
427,Psych,Drama,/Psych,psych,8,120,Concluded,60 min,4.33383,Psych,Psych,California
428,Raising Hope,Comedy,/Raising_Hope,raisinghope,4,88,Concluded,30 min,3.92082,FOX,,
429,Rake,Comedy,/rake,rake,3,23,Concluded,60 min,4.24468,N/A,,
430,Rake,Drama,/rake,rake,3,23,Concluded,60 min,4.24468,N/A,,
431,Ravenswood,Drama,/ravenswood,ravenswood,1,10,Concluded,60 min,3.04132,N/A,,
432,Ravenswood,Fantasy,/ravenswood,ravenswood,1,10,Concluded,60 min,3.04132,N/A,,
433,Reckless,Crime,/reckless,reckless,1,13,Concluded,None,3.79711,N/A,,
434,Reckless,Drama,/reckless,reckless,1,13,Concluded,None,3.79711,N/A,,
435,Red Band Society,Drama,/red_band_society,redbandsociety,1,13,Concluded,60 min,4.09436,FOX,,
436,Red Widow,Crime,/red_widow,redwidow,1,8,Concluded,60 min,3.11364,ABC,,
437,Red Widow,Drama,/red_widow,redwidow,1,8,Concluded,60 min,3.11364,ABC,,
438,Reed Between the Lines,Comedy,/reed_between_the_lines,reedbetweenthelines,1,25,Concluded,30 min,4.0,BET,,
439,Remodeled,Reality,/remodeled,remodeled,1,7,Concluded,60 min,2.78571,The CW,,
440,Resurrection,Fantasy,/resurrection,resurrection,2,21,Concluded,60 min,3.56533,ABC,,
441,Retired at 35,Comedy,/retired_at_35,retiredat35,2,20,Concluded,30 min,2.35246,TV Land,,
442,Revenge,Drama,/Revenge,revenge,4,90,Concluded,60 min,4.09317,UnivisionAUnivisionBUnivisionCUnivision,,
443,Revolution,Action,/Revolution,revolution,2,42,Concluded,60 min,3.68173,NBC,,
444,Revolution,Drama,/Revolution,revolution,2,42,Concluded,60 min,3.68173,NBC,,
445,Revolution,Science-Fiction,/Revolution,revolution,2,42,Concluded,60 min,3.68173,NBC,,
446,Ringer,Drama,/ringer,ringer,1,22,Concluded,60 min,3.48178,The CW,,
447,Riot,Comedy,/riot,riot,1,6,Concluded,None,2.33333,FOX,,
448,Riot,Reality,/riot,riot,1,6,Concluded,None,2.33333,FOX,,
449,Rising Star,Reality,/rising_star,risingstar,1,10,Hiatus,60 min,3.02778,ABC,,
450,Rubicon,Drama,/Rubicon,rubicon,1,13,Concluded,60 min,3.72839,AMC,,
451,Rules of Engagement,Comedy,/Rules_of_Engagement,rulesofengagement,7,100,Concluded,30 min,3.6714,CBS,,
452,Running Wilde,Comedy,/Running_Wilde,runningwilde,1,13,Concluded,30 min,2.89157,FOX,,
453,Saint George,Comedy,/saint_george,saintgeorge,1,10,Hiatus,30 min,3.39796,N/A,,
454,Sam & Cat,Comedy,/sam_and_cat,samcat,1,36,Concluded,30 min,3.54478,N/A,,
455,Sanctuary,Action,/Sanctuary,sanctuary,4,59,Concluded,60 min,4.08523,Syfy,,
456,Sanctuary,Drama,/Sanctuary,sanctuary,4,59,Concluded,60 min,4.08523,Syfy,,
457,Sanctuary,Fantasy,/Sanctuary,sanctuary,4,59,Concluded,60 min,4.08523,Syfy,,
458,Save Me,Comedy,/save_me,saveme,1,7,Concluded,30 min,2.95973,NBC,,
459,School Pride,Drama,/School_Pride,schoolpride,1,7,Concluded,60 min,2.5,NBC,,
460,School Pride,Reality,/School_Pride,schoolpride,1,7,Concluded,60 min,2.5,NBC,,
461,Scoundrels,Drama,/Scoundrels,scoundrels,1,8,Concluded,None,2.88889,ABC,,
462,Sean Saves the World,Comedy,/sean_saves_the_world,seansavestheworld,1,13,Concluded,30 min,3.12562,N/A,,
463,Secret Diary of a Call Girl,Drama,/Secret_Diary_of_a_Call_Girl,secretdiaryofacallgirl,4,32,Concluded,30 min,3.99241,Showtime,,
464,Secret Millionaire,Reality,/Secret_Millionaire,secretmillionaire,4,25,Concluded,60 min,3.22222,ABC,,
465,See Dad Run,Comedy,/see_dad_run,seedadrun,3,48,Concluded,30 min,3.65789,Nick at Nite,,
466,Seed,Comedy,/Seed,seed,2,26,Concluded,30 min,3.72222,The CW,,
467,Selfie,Comedy,/selfie,selfie,1,13,Concluded,30 min,3.64675,ABC,,
468,Shameless,Comedy,/Shameless,shameless,11,140,Concluded,60 min,3.76214,Channel 4 in UK,Shameless,Illinois
469,Shameless,Drama,/Shameless,shameless,11,140,Concluded,60 min,3.76214,Channel 4 in UK,Shameless,Illinois
470,Siberia,Drama,/siberia,siberia,1,11,Concluded,60 min,3.50862,NBC,,
471,Sing Your Face Off,Reality,/sing_your_face_off,singyourfaceoff,1,6,Hiatus,60 min,3.375,ABC,,
472,Sirens,Comedy,/sirens,sirens,2,23,Concluded,30 min,3.87684,USA Network,,
473,Skating with the Stars,Reality,/skating_with_the_stars,skatingwiththestars,1,6,Concluded,60 min,3.5,ABC,,
474,Skins,Drama,/Skins,skins,7,63,Concluded,60 min,4.17553,Channel 4 in UK,,
475,Skins,Drama,/Skins,skins,7,63,Concluded,60 min,4.17553,MTV,,
476,Small Town Security,Reality,/small_town_security,smalltownsecurity,3,24,Concluded,60 min,2.67857,AMC,,
477,Smallville,Action,/Smallville,smallville,10,216,Concluded,60 min,4.09776,The CW,Smallville,Kansas
478,Smallville,Action,/Smallville,smallville,10,216,Concluded,60 min,4.0952,The CW,Smallville,Kansas
479,Smallville,Drama,/Smallville,smallville,10,216,Concluded,60 min,4.09776,The CW,Smallville,Kansas
480,Smallville,Drama,/Smallville,smallville,10,216,Concluded,60 min,4.0952,The CW,Smallville,Kansas
481,Smallville,Science-Fiction,/Smallville,smallville,10,216,Concluded,60 min,4.09776,The CW,Smallville,Kansas
482,Smallville,Science-Fiction,/Smallville,smallville,10,216,Concluded,60 min,4.0952,The CW,Smallville,Kansas
483,Smash,Drama,/smash,smash,2,32,Concluded,60 min,3.75046,NBC,,
484,Sons of Anarchy,Crime,/Sons_of_Anarchy,sonsofanarchy,7,93,Concluded,60 min,4.36554,FX,,
485,Sons of Anarchy,Drama,/Sons_of_Anarchy,sonsofanarchy,7,93,Concluded,60 min,4.36554,FX,,
486,Sons of Guns,Reality,/sons_of_guns,sonsofguns,5,70,Concluded,60 min,3.20833,cancelled after five seasons,,
487,Southland,Crime,/Southland,southland,5,43,Concluded,60 min,4.00588,TNT,,
488,Southland,Drama,/Southland,southland,5,43,Concluded,60 min,4.00588,TNT,,
489,Stalker,Crime,/stalker,stalker,1,20,Concluded,60 min,4.01292,CBS,,
490,Stalker,Drama,/stalker,stalker,1,20,Concluded,60 min,4.01292,CBS,,
491,Star Wars: The Clone Wars,Cartoons,/star_wars_the_clone_wars,starwarstheclonewars,6,123,Concluded,30 min,4.06269,Cartoon Network,,
492,Star Wars: The Clone Wars,Science-Fiction,/star_wars_the_clone_wars,starwarstheclonewars,6,123,Concluded,30 min,4.06269,Cartoon Network,,
493,Star-Crossed,Drama,/star_crossed,starcrossed,1,13,Concluded,60 min,3.77313,N/A,,
494,Star-Crossed,Science-Fiction,/star_crossed,starcrossed,1,13,Concluded,60 min,3.77313,N/A,,
495,Stargate Universe,Action,/Stargate_Universe,stargateuniverse,2,40,Concluded,60 min,4.05948,Syfy,,
496,Stargate Universe,Drama,/Stargate_Universe,stargateuniverse,2,40,Concluded,60 min,4.05948,Syfy,,
497,Stargate Universe,Science-Fiction,/Stargate_Universe,stargateuniverse,2,40,Concluded,60 min,4.05948,Syfy,,
498,Stars Earn Stripes,Reality,/stars_earn_stripes,starsearnstripes,1,4,Hiatus,60 min,2.88889,NBC,,
499,State of Affairs,Drama,/state_of_affairs,stateofaffairs,1,13,Concluded,60 min,3.60116,NBC,,
500,State of Georgia,Comedy,/state_of_georgia,stateofgeorgia,1,12,Concluded,30 min,3.08442,ABC Family,,
501,Stevie TV,Reality,/stevie_tv,stevietv,2,14,Hiatus,60 min,2.75,VH1,,
502,Strike Back,Action,/Strike_Back,strikeback,5,46,Hiatus,60 min,4.32759,CNBCCCNBCiCNBCnCNBCeCNBCmCNBCaCNBCxCNBC,,
503,Strike Back,Crime,/Strike_Back,strikeback,5,46,Hiatus,60 min,4.32759,CNBCCCNBCiCNBCnCNBCeCNBCmCNBCaCNBCxCNBC,,
504,Strike Back,Drama,/Strike_Back,strikeback,5,46,Hiatus,60 min,4.32759,CNBCCCNBCiCNBCnCNBCeCNBCmCNBCaCNBCxCNBC,,
505,Suburgatory,Comedy,/suburgatory,suburgatory,3,57,Concluded,30 min,3.73393,ABC,,
506,Sullivan & Son,Comedy,/sullivan_and_son,sullivanson,3,33,Concluded,30 min,3.12179,N/A,Sullivan & Son,Pennsylvania
507,Supah Ninjas,Action,/supah_ninjas,supahninjas,1,11,Concluded,None,3.9,Nickelodeon,,
508,Super Fun Night,Comedy,/super_fun_night,superfunnight,1,17,Concluded,30 min,3.37529,ABC,,
509,Supernanny,Reality,/Supernanny,supernanny,7,119,Concluded,60 min,3.19231,ABC,,
510,Surviving Jack,Comedy,/surviving_jack,survivingjack,1,7,Concluded,30 min,3.83651,N/A,,
